"","Position","Window.size","r.squared","Fold","ROI"
"449","masked_pre",221,0.5084673609152,5,0
"450","masked_pre",221,0.502190641739317,9,0
"451","masked_pre",221,0.606983059750481,3,1
"452","masked_pre",221,0.614495625550363,2,1
"453","masked_pre",221,0.625301686638307,1,1
"454","masked_pre",221,0.625768043536057,6,1
"455","masked_pre",221,0.626264428025527,7,1
"456","masked_pre",221,0.635798780535324,4,1
"457","masked_pre",221,0.609124950463482,10,1
"458","masked_pre",221,0.646816459657517,8,1
"459","masked_pre",221,0.60690994405203,5,1
"460","masked_pre",221,0.622055054108331,9,1
"461","masked_pre",231,0.522941638165487,3,0
"462","masked_pre",231,0.533873122899756,2,0
"463","masked_pre",231,0.507478972255527,1,0
"464","masked_pre",231,0.490595692480741,6,0
"465","masked_pre",231,0.483452050781448,7,0
"466","masked_pre",231,0.497537896086134,4,0
"467","masked_pre",231,0.528996240469504,10,0
"468","masked_pre",231,0.502795120042579,8,0
"469","masked_pre",231,0.513174921154815,5,0
"470","masked_pre",231,0.506908732842633,9,0
"471","masked_pre",231,0.612234105991961,3,1
"472","masked_pre",231,0.617705233675893,2,1
"473","masked_pre",231,0.630707395892491,1,1
"474","masked_pre",231,0.63043804513563,6,1
"475","masked_pre",231,0.631009562108942,7,1
"476","masked_pre",231,0.640754151700764,4,1
"477","masked_pre",231,0.611917570725249,10,1
"478","masked_pre",231,0.652285939072286,8,1
"479","masked_pre",231,0.612390654270494,5,1
"480","masked_pre",231,0.626379614776839,9,1
"481","masked_pre",241,0.52626778208029,3,0
"482","masked_pre",241,0.53780648973936,2,0
"483","masked_pre",241,0.511390067373496,1,0
"484","masked_pre",241,0.493946864004352,6,0
"485","masked_pre",241,0.486652628358497,7,0
"486","masked_pre",241,0.501131932622044,4,0
"487","masked_pre",241,0.532583865399792,10,0
"488","masked_pre",241,0.505543457445851,8,0
"489","masked_pre",241,0.517064804424173,5,0
"490","masked_pre",241,0.509996598261048,9,0
"491","masked_pre",241,0.614944991847091,3,1
"492","masked_pre",241,0.618890816724429,2,1
"493","masked_pre",241,0.634205595416926,1,1
"494","masked_pre",241,0.63206996627371,6,1
"495","masked_pre",241,0.633254225357232,7,1
"496","masked_pre",241,0.643493169846031,4,1
"497","masked_pre",241,0.612346474785437,10,1
"498","masked_pre",241,0.654719464896147,8,1
"499","masked_pre",241,0.614689416873536,5,1
"500","masked_pre",241,0.627674125774437,9,1
"501","masked_pre",251,0.528710908316483,3,0
"502","masked_pre",251,0.540644033306801,2,0
"503","masked_pre",251,0.513770506890655,1,0
"504","masked_pre",251,0.496178091910328,6,0
"505","masked_pre",251,0.488845776221466,7,0
"506","masked_pre",251,0.503161644908504,4,0
"507","masked_pre",251,0.535074660293919,10,0
"508","masked_pre",251,0.50682401758489,8,0
"509","masked_pre",251,0.519783687984531,5,0
"510","masked_pre",251,0.512595185813928,9,0
"511","masked_pre",251,0.616536119830892,3,1
"512","masked_pre",251,0.619374759482203,2,1
"513","masked_pre",251,0.636530269334742,1,1
"514","masked_pre",251,0.633215947413092,6,1
"515","masked_pre",251,0.634315724739731,7,1
"516","masked_pre",251,0.645128082186142,4,1
"517","masked_pre",251,0.612145050260933,10,1
"518","masked_pre",251,0.65544785822426,8,1
"519","masked_pre",251,0.615244643467034,5,1
"520","masked_pre",251,0.627387984906807,9,1
"521","masked_pre",261,0.532067912344292,3,0
"522","masked_pre",261,0.543888547237171,2,0
"523","masked_pre",261,0.516273316130069,1,0
"524","masked_pre",261,0.498596928483308,6,0
"525","masked_pre",261,0.490863408039905,7,0
"526","masked_pre",261,0.505209392194641,4,0
"527","masked_pre",261,0.538135565994872,10,0
"528","masked_pre",261,0.508751130583257,8,0
"529","masked_pre",261,0.522622678172101,5,0
"530","masked_pre",261,0.516351528254851,9,0
"531","masked_pre",261,0.618822237181705,3,1
"532","masked_pre",261,0.620124856253179,2,1
"533","masked_pre",261,0.638547277805557,1,1
"534","masked_pre",261,0.635004242423191,6,1
"535","masked_pre",261,0.635788411837436,7,1
"536","masked_pre",261,0.646781269636008,4,1
"537","masked_pre",261,0.612930340241101,10,1
"538","masked_pre",261,0.65726227852968,8,1
"539","masked_pre",261,0.6163393381792,5,1
"540","masked_pre",261,0.627931651879874,9,1
"541","masked_pre",271,0.535899157633167,3,0
"542","masked_pre",271,0.547816395315788,2,0
"543","masked_pre",271,0.51950202239539,1,0
"544","masked_pre",271,0.501489515496001,6,0
"545","masked_pre",271,0.493334860458433,7,0
"546","masked_pre",271,0.508435972911602,4,0
"547","masked_pre",271,0.542148607844067,10,0
"548","masked_pre",271,0.512007736028655,8,0
"549","masked_pre",271,0.525665325085949,5,0
"550","masked_pre",271,0.520825234525302,9,0
"551","masked_pre",271,0.621934536885027,3,1
"552","masked_pre",271,0.621166987825789,2,1
"553","masked_pre",271,0.640445523793469,1,1
"554","masked_pre",271,0.636807943848843,6,1
"555","masked_pre",271,0.637682610104552,7,1
"556","masked_pre",271,0.648833248497659,4,1
"557","masked_pre",271,0.615022100021319,10,1
"558","masked_pre",271,0.659659830740867,8,1
"559","masked_pre",271,0.618272446220004,5,1
"560","masked_pre",271,0.630245802122211,9,1
"561","masked_pre",281,0.538766933019577,3,0
"562","masked_pre",281,0.550842420003406,2,0
"563","masked_pre",281,0.52270092514041,1,0
"564","masked_pre",281,0.504029811610034,6,0
"565","masked_pre",281,0.495788302273469,7,0
"566","masked_pre",281,0.511665462125007,4,0
"567","masked_pre",281,0.545379929632547,10,0
"568","masked_pre",281,0.514851946198441,8,0
"569","masked_pre",281,0.528092137130232,5,0
"570","masked_pre",281,0.52438801172614,9,0
"571","masked_pre",281,0.625034390921739,3,1
"572","masked_pre",281,0.622434807760419,2,1
"573","masked_pre",281,0.642739964824845,1,1
"574","masked_pre",281,0.638220762278788,6,1
"575","masked_pre",281,0.63920022847735,7,1
"576","masked_pre",281,0.650812411210471,4,1
"577","masked_pre",281,0.617353234307065,10,1
"578","masked_pre",281,0.661022419225814,8,1
"579","masked_pre",281,0.620264055885801,5,1
"580","masked_pre",281,0.632667802196809,9,1
"581","masked_pre",291,0.5419036917577,3,0
"582","masked_pre",291,0.553639520224934,2,0
"583","masked_pre",291,0.526247371166394,1,0
"584","masked_pre",291,0.506877791251668,6,0
"585","masked_pre",291,0.498527271046347,7,0
